dms_id,target_seq_len,rho_esm,wt_agreement,mean_wt_logprob,mean_entropy,frac_confident,score_dispersion,length,n_variants
A0A192B1T2_9HIV1_Haddox_2018,852,0.0798464104483736,0.1691842900302115,-2.5715907836822494,2.535736824743157,0.07250755287009064,1.8167898345574165,852.0,12577.0
A0A1I9GEU1_NEIME_Kennouche_2019,161,0.029712689503610046,0.38509316770186336,-1.8194005829947335,1.797850204111071,0.33540372670807456,3.1502297724939914,161.0,922.0
A0A247D711_LISMN_Stadelmann_2021,87,0.06610058783744555,0.25287356321839083,-2.4238472509909763,2.6027622622833855,0.011494252873563218,1.501785258713207,87.0,1653.0
A0A2Z5U3Z0_9INFA_Doud_2016,565,0.5066939146007583,0.7836879432624113,-0.7537277657572968,0.5900334318957774,0.8687943262411347,3.752858987455101,565.0,10715.0
A0A2Z5U3Z0_9INFA_Wu_2014,565,0.4642012209729777,0.7898550724637681,-0.734396274053232,0.5642002270492874,0.8804347826086957,3.3054853113481566,565.0,2350.0
A4D664_9INFA_Soh_2019,759,0.14877659604024238,0.4993412384716733,-1.580082949926575,1.611197305585556,0.43478260869565216,5.219769262030232,759.0,14421.0
A4GRB6_PSEAI_Chen_2020,266,0.7381724018166342,0.5451127819548872,-1.406207850884068,1.533466935969182,0.42857142857142855,3.9739970991182094,266.0,5004.0
A4_HUMAN_Seuma_2022,770,0.4978901514984786,0.35714285714285715,-2.304387776851876,1.9934702500967043,0.2619047619047619,4.675638787250544,770.0,796.0
AACC1_PSEAI_Dandage_2018,177,0.4904250313163181,0.5403726708074534,-1.499334241621853,1.5062875495326955,0.4658385093167702,3.868977729742195,177.0,1801.0
ACE2_HUMAN_Chan_2020,805,0.22454353999624166,0.5470085470085471,-1.4196446218306964,1.4556092051311562,0.4700854700854701,3.3772638819770147,805.0,2223.0
ADRB2_HUMAN_Jones_2020,413,0.49260512419872515,0.3446601941747573,-2.0299049650047096,1.9031618341025942,0.3276699029126214,3.6290286426282354,413.0,7800.0
AICDA_HUMAN_Gajula_2014_3cycles,198,0.3283841065807374,0.18181818181818182,-2.8013929717920045,1.899767512624914,0.36363636363636365,3.20955826658887,198.0,209.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,47,0.5205199264852869,0.6595744680851063,-1.162755578865317,1.2644735428881138,0.574468085106383,3.345919549511994,47.0,820.0
AMIE_PSEAE_Wrenbeck_2017,346,0.556942598132876,0.4633431085043988,-1.7467395244289157,1.7646087296088595,0.36950146627565983,3.6291744413441456,346.0,6227.0
ANCSZ_Hobbs_2022,627,0.6092738384778054,0.5182481751824818,-1.4903049422142949,1.4646187725699553,0.46715328467153283,4.086624388478041,627.0,4670.0
ARGR_ECOLI_Tsuboyama_2023_1AOY,69,0.4964975126750771,0.463768115942029,-1.7273823155927053,1.801856476759565,0.3333333333333333,2.983411692611361,69.0,1287.0
BBC1_YEAST_Tsuboyama_2023_1TG0,64,0.5771789374199192,0.4375,-1.678568355673633,1.6403949649538845,0.296875,3.159924327990456,64.0,1084.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,52,0.4417634465763281,0.5192307692307693,-1.5837985200140303,1.4112617708384418,0.4807692307692308,3.2298683433435817,52.0,890.0
BLAT_ECOLX_Deng_2012,286,0.5280743598413592,0.6806083650190115,-1.061693827531865,1.120153294700931,0.6387832699619772,4.010377027892308,286.0,4996.0
BLAT_ECOLX_Firnberg_2014,286,0.7371009434707465,0.6806083650190115,-1.061693827531865,1.120153294700931,0.6387832699619772,3.9908601709092872,286.0,4783.0
BLAT_ECOLX_Jacquier_2013,286,0.7037761771821255,0.6806083650190115,-1.061693827531865,1.120153294700931,0.6387832699619772,3.64259701223695,286.0,989.0
