attenuation_ceiling,dms_id,n,nt_between_sd,organism,rho_esm,rho_nt,rho_nt_codon_marginalised,syn_within_sd,target_len
0.9038807399104888,ADRB2_HUMAN_Jones_2020,7800,1.9270328283309937,Homo sapiens,0.4926051403730678,0.006300483800954015,0.011271492629819592,0.8243548415722788,413
0.6309719702743004,AMIE_PSEAE_Wrenbeck_2017,6227,1.6607820987701416,Pseudomonas aeruginosa,0.556942598132876,-0.006599320255125706,0.02066093873497975,1.2884440994197441,346
0.9280834426504503,BLAT_ECOLX_Deng_2012,4996,1.7619354724884033,Escherichia coli,0.5280750753668453,-0.009704584871490375,-0.0024610611649579033,0.6560959493683092,286
0.9247924234571326,BLAT_ECOLX_Firnberg_2014,4783,1.7516573667526245,Escherichia coli,0.7371012054377497,0.019606896192052643,0.026957348250384584,0.6664566523873748,286
0.9280834426504503,BLAT_ECOLX_Stiffler_2015,4996,1.7619354724884033,Escherichia coli,0.7314910900551103,0.022037782233436692,0.032218178851304846,0.6560959493683092,286
0.9158881717752664,CALM1_HUMAN_Weile_2017,1813,2.5364346504211426,Homo sapiens,0.21161860375234082,-0.0361360639222842,-0.01550027083111655,1.0182098451788886,149
0.9048238363829672,CCDB_ECOLI_Tripathi_2016,1663,1.4204118251800537,Escherichia coli,0.5114693109007279,0.06158661972576415,0.03329260296021597,0.6047916483998991,101
0.9217865589228704,DYR_ECOLI_Thompson_plusLon_2019,2363,2.045386791229248,Escherichia coli,0.4800274624687618,-0.07614241674428453,-0.07986430087370823,0.7929918421571429,159
0.910278286129014,ESTA_BACSU_Nutschel_2020,2172,1.6301478147506714,Bacillus subtilis,0.2995253904070948,-0.032787364436954375,-0.04377476657286261,0.6748761587652324,212
0.9279832271673715,IF1_ECOLI_Kelsic_2016,1367,1.9893120527267456,Escherichia coli,0.5986825036964848,0.06512984041714708,0.06777707122905895,0.7412613695435432,72
0.9083575210039562,KKA2_KLEPN_Melnikov_2014,4960,2.165841817855835,Klebsiella pneumoniae,0.6014361671109447,-0.029160538043798992,-0.048981551998349755,0.905743069301541,264
0.9315468371130643,MK01_HUMAN_Brenan_2016,6809,2.1776793003082275,Homo sapiens,0.1781804037602873,-0.015901180991001497,-0.02049979369971065,0.7918506992888401,360
0.9176495357637738,NUD15_HUMAN_Suiter_2020,2844,2.2937049865722656,Homo sapiens,0.5255911402272375,-0.004810763067579903,-0.029996453014265054,0.9114969178457007,164
0.90485979566722,PTEN_HUMAN_Matreyek_2021,5083,1.9691917896270752,Homo sapiens,0.4650303765193299,-0.006415457924846942,0.00807880379335169,0.8383040494992673,403
0.906287438716082,PTEN_HUMAN_Mighell_2018,7260,1.9294887781143188,Homo sapiens,0.5185316521668099,-0.013749850861878542,-0.020031637502185583,0.8155213854856576,403
0.9041165635519993,R1AB_SARS2_Flynn_growth_2022,5725,2.2258377075195312,SARS-COV2,0.10475670561801416,0.06525493149085297,0.06911095365465429,0.9510690659550872,306
0.8947635053852365,RASH_HUMAN_Bandaru_2017,3134,2.2233216762542725,Homo sapiens,0.4975785612980777,-0.06138402423992435,-0.09258220346240623,0.9928028027635649,189
0.8801137549549839,RL401_YEAST_Mavor_2016,1253,2.389113187789917,Saccharomyces cerevisiae S288C,0.5178520925871772,-0.047042304564019144,-0.06819406447089482,1.1342622227402361,128
0.8865934252825219,RL401_YEAST_Roscoe_2014,1380,2.3848299980163574,Saccharomyces cerevisiae S288C,0.5300172230531615,-0.14569529490040875,-0.188300656852212,1.1031020734486578,128
0.9015822010023584,SUMO1_HUMAN_Weile_2017,1700,2.606804132461548,Homo sapiens,0.5093076909878026,-0.07421366052579335,-0.06872603884271646,1.1277238797578577,101
0.914304610028432,TAT_HV1BR_Fernandes_2016,1577,2.1890878677368164,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),0.0174419617215868,0.02622197439312465,-0.01265771082734039,0.8866402575573142,86
0.9141959324949614,TPK1_HUMAN_Weile_2017,3181,2.082770347595215,Homo sapiens,0.33859678441521807,0.008470158654052378,0.005777480759538887,0.8440895399229813,243
0.9054910179952393,TPMT_HUMAN_Matreyek_2018,3648,2.103240489959717,Homo sapiens,0.538658444455702,0.02052126948504033,0.02331760250411482,0.8925425503328115,245
0.9217347309394939,TRPC_SACS2_Chan_2017,1519,2.0275917053222656,Thermus thermophilus,0.6525339432224486,-0.09802807684640859,-0.09640605428648186,0.7863425322757992,248
0.9063033866433398,VKOR1_HUMAN_Chiasson_abundance_2020,2695,2.180013656616211,Homo sapiens,0.49329933527925196,0.032369559393340686,0.027099932712456733,0.9213341539285054,163
