cluster,dms_id,n_here,n_transfer,rho_abs_d_hydropathy,rho_abs_d_volume,rho_blosum62,rho_chem_locco,rho_d_hydropathy,rho_d_volume,rho_esm,rho_nt,rho_nt_codon_marginalised
ADRB2_HUMAN,ADRB2_HUMAN_Jones_2020,7800,7800,0.15835020433974487,0.05303773996519019,0.19076125607405423,0.2658208380996707,0.2149665576422177,0.05462820465736868,0.4926051403730678,0.006300483800954015,0.011271492629819592
AMIE_PSEAE,AMIE_PSEAE_Wrenbeck_2017,6227,6227,0.15555322505237115,0.12960628530180018,0.2766979414929836,0.3300003042377438,0.17581770380073075,-0.01320502905546688,0.556942598132876,-0.006599320255125706,0.02066093873497975
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,4996,4996,0.1270532950889481,0.18758154946731556,0.30554171720351386,0.2601950518261036,0.0333884073222664,-0.030963971125655014,0.5280750753668453,-0.009704584871490375,-0.0024610611649579033
BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,4783,4783,0.19808032236669168,0.16411699853656941,0.33851019999303783,0.40789569166297257,0.23588334852653833,-0.031089581932729274,0.7371012054377497,0.019606896192052643,0.026957348250384584
BLAT_ECOLX,BLAT_ECOLX_Stiffler_2015,4996,4996,0.19102011485776477,0.1693034152123959,0.34645733471362794,0.4099130169612907,0.22382426326971389,-0.014789253447856967,0.7314910900551103,0.022037782233436692,0.032218178851304846
CALM1_HUMAN,CALM1_HUMAN_Weile_2017,1813,1813,0.11513883351371973,0.10461718873967991,0.20123782812016758,0.20565472627615994,0.050345673910872454,-0.030425273100103543,0.21161860375234082,-0.0361360639222842,-0.01550027083111655
CCDB_ECOLI,CCDB_ECOLI_Tripathi_2016,1663,1663,0.15657964398524202,0.08309201348032515,0.24816842571163014,0.3782577415866855,0.3204521254258808,0.0983685483469929,0.5114693109007279,0.06158661972576415,0.03329260296021597
DYR_ECOLI,DYR_ECOLI_Thompson_plusLon_2019,2363,2363,0.0950847038646755,0.12331539043412719,0.1507190491255169,0.27003632433264724,0.21978594534815313,0.06335912803773046,0.4800274624687618,-0.07614241674428453,-0.07986430087370823
ESTA_BACSU,ESTA_BACSU_Nutschel_2020,2172,2172,0.016690461669816203,0.11391448894906944,0.11132454576560721,0.10771791856155946,0.0069455560158054735,-0.048501258196021205,0.2995253904070948,-0.032787364436954375,-0.04377476657286261
IF1_ECOLI,IF1_ECOLI_Kelsic_2016,1367,1367,0.12233617075829506,0.11888446454937017,0.18230782960542338,0.2302361417260515,0.1295067768795665,0.057055371712810936,0.5986825036964848,0.06512984041714708,0.06777707122905895
KKA2_KLEPN,KKA2_KLEPN_Melnikov_2014,4960,4960,0.10730274226970533,0.0771543895997146,0.22553201664573708,0.24923001580712908,0.13234046325533966,0.11504246280481885,0.6014361671109447,-0.029160538043798992,-0.048981551998349755
MK01_HUMAN,MK01_HUMAN_Brenan_2016,6809,6809,-0.011702970044527928,-0.07076008352548155,-0.05991591965362622,-0.04490395094679292,0.05287050935918945,0.046349436137934144,0.1781804037602873,-0.015901180991001497,-0.02049979369971065
NUD15_HUMAN,NUD15_HUMAN_Suiter_2020,2844,2844,0.13755177456901796,0.13244590436226744,0.22904365534046528,0.3106336340559509,0.17677072997385426,0.03666376890763763,0.5255911402272375,-0.004810763067579903,-0.029996453014265054
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,5083,5083,0.13005921469748882,0.09062067982129107,0.21684551998109952,0.2838716167994307,0.1746694759535607,0.09491602820592572,0.4650303765193299,-0.006415457924846942,0.00807880379335169
PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,7260,7260,0.10693443885119752,0.1016351752873475,0.1824027163765683,0.26303723160998455,0.1863368759794138,0.05513372556739095,0.5185316521668099,-0.013749850861878542,-0.020031637502185583
R1AB_SARS2,R1AB_SARS2_Flynn_growth_2022,5725,5725,0.11766536797722421,0.10970887606725055,0.20683693315780424,0.29430691401567294,0.21422900985297458,0.021126675417313813,0.10475670561801416,0.06525493149085297,0.06911095365465429
RASH_HUMAN,RASH_HUMAN_Bandaru_2017,3134,3134,0.1460675185195815,0.12470160938177807,0.267723689696401,0.35801600264572253,0.2445463287740619,-0.053504186727022895,0.4975785612980777,-0.06138402423992435,-0.09258220346240623
RL401_YEAST,RL401_YEAST_Mavor_2016,1253,1253,0.20300796425524004,0.1199525867043116,0.2371040097828319,0.3264000093079031,0.2144529210545273,0.09546637549176977,0.5178520925871772,-0.047042304564019144,-0.06819406447089482
RL401_YEAST,RL401_YEAST_Roscoe_2014,1380,1380,0.21745879162016327,0.12252414130128504,0.28253598210668157,0.3880962193613516,0.27996298012622306,0.13412543471010951,0.5300172230531615,-0.14569529490040875,-0.188300656852212
SUMO1_HUMAN,SUMO1_HUMAN_Weile_2017,1700,1700,0.1469166635799643,0.08764059805424748,0.2504516861988153,0.338715715275458,0.19690352108938974,0.05896706656056022,0.5093076909878026,-0.07421366052579335,-0.06872603884271646
TAT_HV1BR,TAT_HV1BR_Fernandes_2016,1577,1577,0.07355251979599191,0.07512570667079152,0.17961090271205904,0.23978681186335146,0.15893933152812167,0.0413663053958325,0.0174419617215868,0.02622197439312465,-0.01265771082734039
TPK1_HUMAN,TPK1_HUMAN_Weile_2017,3181,3181,0.16179551244796633,0.09825039882642139,0.24114977405941126,0.24840716992593237,0.09044019763070767,-0.02703237552669695,0.33859678441521807,0.008470158654052378,0.005777480759538887
TPMT_HUMAN,TPMT_HUMAN_Matreyek_2018,3648,3648,0.13068673286917604,0.1212271003525983,0.23991498695529367,0.32398410018623197,0.22009792761491517,0.06899985019416921,0.538658444455702,0.02052126948504033,0.02331760250411482
TRPC_SACS2,TRPC_SACS2_Chan_2017,1519,1519,0.2234655519580225,0.17302390904253456,0.3402038765885399,0.32263613499916144,0.13210209234834142,-0.12289528117746254,0.6525339432224486,-0.09802807684640859,-0.09640605428648186
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_abundance_2020,2695,2695,0.27665864263796014,0.05315516715801329,0.3139372008502644,0.3811159569885331,0.2998219072819378,0.023716957089183737,0.49329933527925196,0.032369559393340686,0.027099932712456733
