attenuation_ceiling,context,dms_id,n,nt_between_sd,nt_model,organism,rho_esm,rho_nt,rho_nt_codon_marginalised,syn_within_sd,target_len
0.9038807399104888,cds,ADRB2_HUMAN_Jones_2020,7800,1.9270328283309937,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,Homo sapiens,0.4926051403730678,0.006300483800954015,0.011271492629819592,0.8243548415722788,413
0.9123072165323363,cds,ADRB2_HUMAN_Jones_2020,7800,1.7421826124191284,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,Homo sapiens,0.4926051403730678,0.039717922625704664,0.02497854821897112,0.7134350382871381,413
0.8900198847794095,cds,ADRB2_HUMAN_Jones_2020,7800,1.599863052368164,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,Homo sapiens,0.4926051403730678,0.05606085882159886,0.055081138787762725,0.7294122969310578,413
0.9136570891207783,cds,ADRB2_HUMAN_Jones_2020,7800,2.1081416606903076,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,Homo sapiens,0.4926051403730678,0.12659896615245494,0.14352205690337239,0.8569296958701195,413
0.6309719702743004,cds,AMIE_PSEAE_Wrenbeck_2017,6227,1.6607820987701416,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,Pseudomonas aeruginosa,0.556942598132876,-0.006599320255125706,0.02066093873497975,1.2884440994197441,346
0.7645977364608613,cds,AMIE_PSEAE_Wrenbeck_2017,6227,1.8424367904663086,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,Pseudomonas aeruginosa,0.556942598132876,0.0003658002556980985,0.011429521024793804,1.1874648783718658,346
0.6194422690068666,cds,AMIE_PSEAE_Wrenbeck_2017,6227,1.7663776874542236,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,Pseudomonas aeruginosa,0.556942598132876,-0.010839708887129033,0.01630446030356889,1.3866810478255172,346
0.24011006149437608,cds,AMIE_PSEAE_Wrenbeck_2017,6227,1.583999752998352,InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,Pseudomonas aeruginosa,0.556942598132876,0.03333977192429439,0.050225512855324554,1.5376609035809436,346
0.9280834426504503,cds,BLAT_ECOLX_Deng_2012,4996,1.7619354724884033,InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,Escherichia coli,0.5280750753668453,-0.009704584871490375,-0.0024610611649579033,0.6560959493683092,286
0.9475607237138598,cds,BLAT_ECOLX_Deng_2012,4996,1.533461570739746,InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,Escherichia coli,0.5280750753668453,-0.019282303311082723,-0.027260042303032937,0.4900571672819673,286
0.9234477026589439,cds,BLAT_ECOLX_Deng_2012,4996,1.177101492881775,InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,Escherichia coli,0.5280750753668453,-0.013102903288389273,-0.009224902394029278,0.4516824495191953,286
