scorer,naive_gate,forward_gate
honest_zero_shot,0.8093023255813954,0.8
leaked_full,0.8325581395348838,0.505263157894737
leaked_50pct,0.7023255813953488,0.37894736842105264
honest_zero_shot,0.8511627906976744,0.8421052631578947
leaked_full,0.7813953488372094,0.8
leaked_50pct,0.7395348837209303,0.4947368421052632
honest_zero_shot,0.8465116279069768,0.9684210526315788
leaked_full,0.7999999999999999,0.18947368421052635
leaked_50pct,0.5255813953488372,0.35789473684210527
honest_zero_shot,0.9395348837209302,0.7473684210526316
leaked_full,0.786046511627907,0.27368421052631586
leaked_50pct,0.39069767441860465,0.12631578947368421
honest_zero_shot,0.7395348837209303,0.7894736842105263
leaked_full,0.7534883720930232,0.5157894736842106
leaked_50pct,0.7255813953488371,0.2947368421052632
honest_zero_shot,0.8976744186046511,0.8210526315789475
leaked_full,0.6604651162790698,0.5578947368421053
leaked_50pct,0.6651162790697674,0.43157894736842106
honest_zero_shot,0.7767441860465116,0.7157894736842105
leaked_full,0.7348837209302326,0.6526315789473685
leaked_50pct,0.7162790697674418,0.5052631578947369
honest_zero_shot,0.7162790697674418,0.9789473684210527
leaked_full,0.8046511627906977,0.28421052631578947
leaked_50pct,0.6046511627906976,0.5263157894736843
honest_zero_shot,0.8093023255813954,0.9052631578947369
leaked_full,0.7627906976744185,0.368421052631579
leaked_50pct,0.5627906976744186,0.2736842105263158
honest_zero_shot,0.8697674418604651,0.8736842105263157
leaked_full,0.9162790697674419,0.7473684210526316
leaked_50pct,0.6837209302325582,0.5578947368421052
honest_zero_shot,0.36279069767441857,0.5578947368421052
leaked_full,0.8604651162790697,0.31578947368421056
leaked_50pct,0.46976744186046515,0.4210526315789474
honest_zero_shot,0.8790697674418605,0.8947368421052632
leaked_full,0.6976744186046512,0.5157894736842106
leaked_50pct,0.5674418604651162,0.35789473684210527
honest_zero_shot,0.7069767441860466,0.8947368421052632
leaked_full,0.8186046511627908,0.6526315789473685
leaked_50pct,0.6744186046511629,0.4000000000000001
honest_zero_shot,0.8046511627906977,0.7263157894736842
leaked_full,0.7581395348837209,0.3263157894736842
leaked_50pct,0.6604651162790698,0.5157894736842106
honest_zero_shot,0.7162790697674418,0.8
leaked_full,0.7767441860465116,0.6210526315789474
leaked_50pct,0.6232558139534884,0.46315789473684216
honest_zero_shot,0.7348837209302326,0.7157894736842105
leaked_full,0.7302325581395349,0.3473684210526316
leaked_50pct,0.7488372093023256,0.43157894736842106
honest_zero_shot,0.827906976744186,0.6210526315789474
