assay,seed,round,disagree,rho_pool,chosen,sup_auroc,zs_auroc,planner,always_sup,always_zs,explore_ev
A4GRB6_PSEAI_Chen_2020,0,1,0.967741935483871,0.1707310273672692,zero_shot,0.3395348837209302,0.8093023255813954,5.0,2.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,0,2,0.945054945054945,0.41994744499587827,zero_shot,0.5383720930232558,0.7395348837209302,1.0,10.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,0,3,0.945054945054945,0.4180512331978476,supervised,0.7060439560439561,0.5945054945054945,9.0,9.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,1,1,0.967741935483871,0.2631276212861233,zero_shot,0.2651162790697674,0.7488372093023257,5.0,0.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,1,2,0.945054945054945,0.41376418501141987,zero_shot,0.6499999999999999,0.7255813953488373,1.0,7.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,1,3,0.9565217391304348,0.4372386651005234,zero_shot,0.6263736263736264,0.6384615384615384,3.0,7.0,3.0,0.4246913580246914
A4GRB6_PSEAI_Chen_2020,2,1,1.0,0.07062653635312958,zero_shot,0.4511627906976744,0.8697674418604652,5.0,0.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,2,2,0.967741935483871,0.3162048289528342,zero_shot,0.6441860465116279,0.7279069767441861,1.0,8.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,2,3,0.9565217391304348,0.3771346913555742,zero_shot,0.621978021978022,0.6637362637362637,3.0,8.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,3,1,1.0,0.20947213048280003,zero_shot,0.4744186046511628,0.8418604651162791,5.0,2.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,3,2,0.9565217391304348,0.4072888671231762,zero_shot,0.6395348837209303,0.7441860465116279,1.0,7.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,3,3,0.9565217391304348,0.4702260946213978,supervised,0.6686813186813187,0.6637362637362637,7.0,7.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,4,1,1.0,0.38817567797454927,supervised,0.8139534883720931,0.7674418604651163,1.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,4,2,1.0,0.3649576721517395,supervised,0.7244186046511627,0.6476744186046511,3.0,3.0,5.0,0.4792176039119804
A4GRB6_PSEAI_Chen_2020,4,3,1.0,0.36630278430865887,supervised,0.8412087912087912,0.7434065934065934,4.0,4.0,5.0,0.454320987654321
A4GRB6_PSEAI_Chen_2020,5,1,0.9894736842105263,0.3765672225809581,zero_shot,0.5906976744186047,0.8372093023255814,5.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,5,2,0.9787234042553191,0.4366861792511106,zero_shot,0.7011627906976744,0.7302325581395349,1.0,5.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,5,3,0.967741935483871,0.4642506005837749,supervised,0.6456043956043955,0.6472527472527472,6.0,6.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,6,1,0.9894736842105263,0.1883715765110545,zero_shot,0.6046511627906976,0.7441860465116279,5.0,6.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,6,2,0.9787234042553191,0.28292482872632024,zero_shot,0.7046511627906977,0.7255813953488373,1.0,9.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,6,3,0.9787234042553191,0.2628711537899402,supervised,0.7527472527472527,0.5879120879120878,6.0,6.0,3.0,0.4246913580246914
A4GRB6_PSEAI_Chen_2020,7,1,0.9894736842105263,0.3514088482717031,zero_shot,0.5255813953488372,0.6790697674418604,5.0,5.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,7,2,0.9565217391304348,0.3875381146943637,supervised,0.6848837209302326,0.594186046511628,6.0,6.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,7,3,0.945054945054945,0.3791063519337367,supervised,0.8472527472527474,0.6747252747252748,2.0,2.0,0.0,0.37530864197530867
A4GRB6_PSEAI_Chen_2020,8,1,0.9894736842105263,0.28261565404773625,zero_shot,0.627906976744186,0.8325581395348837,5.0,0.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,8,2,0.9787234042553191,0.329784553296128,zero_shot,0.6104651162790697,0.7302325581395349,1.0,7.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,8,3,0.9565217391304348,0.31495523802093506,supervised,0.7324175824175825,0.6439560439560439,6.0,6.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,9,1,1.0,0.1572873897598094,zero_shot,0.5627906976744186,0.7534883720930232,5.0,3.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,9,2,0.9787234042553191,0.3994644562339253,zero_shot,0.5546511627906976,0.7372093023255815,1.0,8.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,9,3,0.9787234042553191,0.39532596752502186,supervised,0.7005494505494506,0.6412087912087912,5.0,5.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,10,1,0.9787234042553191,0.2874538881393707,zero_shot,0.758139534883721,0.8186046511627908,5.0,6.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,10,2,0.9787234042553191,0.4019854490129204,zero_shot,0.6209302325581395,0.7244186046511628,1.0,9.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,10,3,0.967741935483871,0.4232972436085004,supervised,0.6329670329670329,0.6384615384615384,8.0,8.0,3.0,0.4246913580246914
A4GRB6_PSEAI_Chen_2020,11,1,0.9894736842105263,0.3598056142738205,zero_shot,0.6372093023255814,0.7209302325581395,5.0,2.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,11,2,0.967741935483871,0.44108671519628395,zero_shot,0.6,0.7325581395348837,1.0,4.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,11,3,0.9787234042553191,0.49757777631580424,supervised,0.6434065934065933,0.6478021978021977,7.0,7.0,3.0,0.4246913580246914
A4GRB6_PSEAI_Chen_2020,12,1,0.9894736842105263,0.0911848130883108,zero_shot,0.30697674418604654,0.7953488372093023,5.0,3.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,12,2,0.9565217391304348,0.2259219106325325,zero_shot,0.5930232558139535,0.7348837209302326,1.0,8.0,1.0,0.43031784841075793
A4GRB6_PSEAI_Chen_2020,12,3,0.9787234042553191,0.2825725010380376,supervised,0.7016483516483516,0.6439560439560439,7.0,7.0,3.0,0.4246913580246914
A4GRB6_PSEAI_Chen_2020,13,1,1.0,0.3481150054231024,zero_shot,0.6046511627906977,0.7116279069767442,5.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,13,2,0.9213483146067416,0.44514756405532346,zero_shot,0.5790697674418605,0.7372093023255815,1.0,7.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,13,3,0.967741935483871,0.43776203452006274,supervised,0.6697802197802197,0.6412087912087912,5.0,5.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,14,1,0.9787234042553191,0.3469847157988303,zero_shot,0.6186046511627907,0.6883720930232557,5.0,0.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,14,2,0.9787234042553191,0.3828289777305187,supervised,0.7662790697674419,0.7209302325581395,7.0,7.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,14,3,0.9333333333333333,0.4209427597684504,supervised,0.8741758241758242,0.6862637362637363,2.0,2.0,1.0,0.37530864197530867
A4GRB6_PSEAI_Chen_2020,15,1,0.9894736842105263,0.3586871338101571,supervised,0.8558139534883722,0.7906976744186046,1.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,15,2,0.9787234042553191,0.366481416264139,zero_shot,0.6697674418604651,0.7523255813953489,5.0,0.0,5.0,0.4792176039119804
A4GRB6_PSEAI_Chen_2020,15,3,0.9565217391304348,0.46810875310069366,supervised,0.65989010989011,0.6587912087912088,9.0,9.0,1.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,16,1,0.9894736842105263,0.2683312469892066,zero_shot,0.5534883720930233,0.8697674418604651,5.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,16,2,0.9894736842105263,0.3993008212328359,zero_shot,0.5709302325581395,0.7302325581395349,1.0,8.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,16,3,0.9787234042553191,0.4165866848156732,supervised,0.7192307692307692,0.6467032967032966,8.0,8.0,3.0,0.4345679012345679
A4GRB6_PSEAI_Chen_2020,17,1,1.0,0.2945521091316234,zero_shot,0.5534883720930233,0.8651162790697674,5.0,0.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,17,2,0.9787234042553191,0.39241569186865244,supervised,0.658139534883721,0.6302325581395349,9.0,9.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,17,3,0.9565217391304348,0.4119342594412384,supervised,0.9087912087912088,0.6758241758241759,0.0,0.0,0.0,0.35555555555555557
A4GRB6_PSEAI_Chen_2020,18,1,0.9894736842105263,0.3775928658473111,zero_shot,0.4790697674418605,0.7395348837209303,5.0,1.0,5.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,18,2,0.9787234042553191,0.4527704569935552,supervised,0.7802325581395348,0.7709302325581395,7.0,7.0,1.0,0.4400977995110024
A4GRB6_PSEAI_Chen_2020,18,3,0.967741935483871,0.4292299606832513,supervised,0.867032967032967,0.6818681318681319,2.0,2.0,0.0,0.37530864197530867
A4GRB6_PSEAI_Chen_2020,19,1,1.0,0.2590573826191508,zero_shot,0.5953488372093023,0.8558139534883721,5.0,0.0,5.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,19,2,0.9565217391304348,0.4250523372287416,zero_shot,0.6360465116279069,0.7313953488372094,1.0,7.0,1.0,0.43031784841075793
