corpus,unit,n,bulk,util_0.01,util_0.1,top_separation,tie_frac,score_skew,score_kurtosis,iqr_over_range,entropy_mean,entropy_sd,n_positions
ProteinGym,A4GRB6_PSEAI_Chen_2020,5004,0.7381724112801877,0.5000427570678371,0.6843026863078816,1.120607651843257,0.0,-0.5242965981690271,-0.4927207926926007,0.2601374038742838,1.532999280324743,0.8387518864494359,259
ProteinGym,AACC1_PSEAI_Dandage_2018,1801,0.4904250313163181,0.3680042461409155,0.2694652094342158,1.159946870094468,0.0,-0.6158240437672875,-0.2942977576198586,0.2605956592622963,1.4829684333762325,0.7921818637453554,25
ProteinGym,ADRB2_HUMAN_Jones_2020,7800,0.4926051403730678,0.1074085785887151,0.1698330487577086,0.9777081630129382,0.0,-0.8196776868422724,-0.1874933937876481,0.2294665885533881,1.8984628312735168,0.8931764915839615,411
ProteinGym,AMIE_PSEAE_Wrenbeck_2017,6227,0.556942598132876,0.208889531682288,0.3421733007977692,1.137237401925304,0.0003211819495744,-0.7962781110299788,0.0631855995663488,0.2099303673163513,1.7864786147235672,0.8706234112282696,315
ProteinGym,B3VI55_LIPST_Klesmith_2015,7890,0.515105345036238,0.3858379896407414,0.5619714600763817,1.300836231328056,0.000253485424588,-0.2354736605918009,-0.6748296850347062,0.2736738470121184,1.1791919963801556,0.8294882924419388,378
ProteinGym,BLAT_ECOLX_Deng_2012,4996,0.5280743598413592,0.3111283603281973,0.4311984863485201,1.3573786173850195,0.0,-0.0966956173719309,-0.669493743861727,0.2582240364640354,1.1210490185695063,0.8122634299875201,263
ProteinGym,BLAT_ECOLX_Firnberg_2014,4783,0.7371009434707465,0.4345665247384979,0.5809127671688658,1.3595348942037633,0.0,-0.0939053302731518,-0.6697301093677273,0.2563367480306436,1.1163809947274599,0.8080182211628564,231
ProteinGym,BLAT_ECOLX_Stiffler_2015,4996,0.7314911964992644,0.6185269451832587,0.725872942185369,1.3573786173850195,0.0,-0.0966956173719309,-0.669493743861727,0.2582240364640354,1.1210490185695063,0.8122634299875201,263
ProteinGym,CALM1_HUMAN_Weile_2017,1813,0.2116186037523408,0.1036582497169697,0.176188973468179,1.2515658750284129,0.0,-0.2912627025481258,-0.6437194038554712,0.2827950807570245,1.2599702477815107,0.7355343715873784,24
ProteinGym,CCDB_ECOLI_Tripathi_2016,1663,0.5114693109007278,0.5306616135144943,0.7253441456022859,1.40738912311234,0.0,-0.5070862257700747,-0.2135043459948331,0.2269398472907492,1.6477128665157124,0.7389598003128354,64
ProteinGym,CP2C9_HUMAN_Amorosi_abundance_2021,6370,0.634523636114507,0.4952646997253697,0.6350580727977415,1.6731671968146176,0.0006279434850863,-0.1182611541732915,-0.3686953591653408,0.2100114791115888,1.1679263369065322,0.7290181267192851,114
ProteinGym,CP2C9_HUMAN_Amorosi_activity_2021,6142,0.6788932218791972,0.74610152982146,0.7255870902918288,1.658478930597994,0.0009768804949527,-0.1077676257438998,-0.3900534864380329,0.2063264828392738,1.09748453967751,0.6609767525900309,132
ProteinGym,DYR_ECOLI_Thompson_plusLon_2019,2363,0.4800274624687618,0.0502602980805991,0.3882866410283965,1.4416718194340703,0.0,-0.2342302863222344,-0.4581565299380705,0.240775257064069,1.3783221686662004,0.7146191906919825,83
ProteinGym,ESTA_BACSU_Nutschel_2020,2172,0.2995262804607824,0.1937755081822643,0.296833266626442,1.4802029223756634,0.0,-0.7170039097579071,0.4133636404215841,0.192252296590971,2.0212069722035237,0.48411954980119337,59
ProteinGym,I6TAH8_I68A0_Doud_2015,9462,0.0204211999648447,-0.0160732968325075,7.252204297608188e-05,2.1234565111927224,0.0010568590150073,-2.6928626352935714,17.015157505227588,0.0705737881494576,2.7876962429742997,0.2508252384808938,498
ProteinGym,IF1_ECOLI_Kelsic_2016,1367,0.5986826223110653,0.6048405560464194,0.725876440704797,1.721242335191083,0.0014630577907827,0.1541788663519554,-0.5410626682727324,0.2688327343704573,0.7006142582069611,0.580890031515593,72
ProteinGym,KKA2_KLEPN_Melnikov_2014,4960,0.601436317096317,0.3361259371133947,0.3942632820981662,1.370655441533044,0.0004032258064516,-0.466381991362071,-0.2416592486066244,0.2341962266264308,1.3836775484611012,0.8030769182473135,262
ProteinGym,MK01_HUMAN_Brenan_2016,6809,0.1781804037602873,0.0493712782675423,-0.0098957853763225,1.270211170072069,0.0,-0.219104332746559,-0.7713112376360387,0.2798388853540281,1.0853834013815475,0.8376055680244738,359
ProteinGym,NCAP_I34A1_Doud_2015,9462,0.0277928497662314,0.0304566534996504,-0.0247996099984959,2.162351087677004,0.0010568590150073,-2.622533557479126,16.825568485203007,0.0709480910042314,2.792215044218009,0.2468475236108153,498
